time,reference,state
9.76,1232,2257.037
9.77,1232,2256.263
9.78,1232,2255.648
9.79,1232,2255.226
9.8,1232,2255.011
9.81,1264,2255.001
9.82,1264,2255.182
9.83,1264,2255.533
9.84,1264,2256.032
9.85,1264,2256.652
9.86,1264,2257.371
9.87,1264,2258.164
9.88,1264,2259.004
9.89,1264,2259.864
9.9,1264,2260.71
9.91,1264,2261.506
9.92,1264,2262.213
9.93,1264,2262.79
9.94,1264,2263.199
9.95,1264,2263.408
9.96,1264,2263.394
9.97,1264,2263.147
9.98,1264,2262.678
9.99,1264,2262.013
10,1264,2261.193
10.01,1264,2260.274
10.02,1264,2259.318
10.03,1296,2258.384
10.04,1296,2257.523
10.05,1296,2256.771
10.06,1296,2256.143
10.07,1296,2255.635
10.08,1296,2255.223
10.09,1296,2254.873
10.1,1296,2254.546
10.11,1296,2254.213
10.12,1296,2253.858
10.13,1296,2253.489
10.14,1296,2253.135
10.15,1296,2252.845
10.16,1296,2252.68
10.17,1296,2252.699
10.18,1296,2252.951
10.19,1296,2253.463
10.2,1296,2254.237
10.21,1296,2255.248
10.22,1296,2256.448
10.23,1328,2257.772
10.24,1328,2259.148
10.25,1328,2260.495
10.26,1328,2261.735
10.27,1328,2262.79
10.28,1328,2263.589
10.29,1328,2264.069
10.3,1328,2264.187
10.31,1328,2263.919
10.32,1328,2263.274
10.33,1328,2262.296
10.34,1328,2261.063
10.35,1328,2259.681
10.36,1328,2258.274
10.37,1328,2256.969
10.38,1328,2255.878
10.39,1328,2255.085
10.4,1328,2254.638
10.41,1328,2254.539
10.42,1328,2254.747
10.43,1328,2255.189
10.44,1328,2255.77
10.45,1328,2256.385
10.46,1328,2256.932
10.47,1328,2257.33
10.48,1328,2257.522
10.49,1328,2257.484
10.5,1328,2257.227
10.51,1328,2256.789
10.52,1360,2256.235
10.53,1360,2255.642
10.54,1360,2255.089
10.55,1360,2254.644
10.56,1360,2254.356
10.57,1360,2254.25
10.58,1360,2254.323
10.59,1360,2254.553
10.6,1360,2254.902
10.61,1360,2255.326
10.62,1360,2255.786
10.63,1360,2256.249
10.64,1360,2256.698
10.65,1360,2257.126
10.66,1360,2257.541
10.67,1360,2257.956
10.68,1360,2258.381
10.69,1360,2258.825
10.7,1360,2259.281
10.71,1360,2259.728
10.72,1360,2260.131
10.73,1360,2260.445
10.74,1360,2260.622
10.75,1360,2260.621
10.76,1360,2260.421
10.77,1360,2260.026
10.78,1360,2259.472
10.79,1360,2258.824
10.8,1360,2258.173
10.81,1360,2257.619
